TRAINING DATASET	HUMAN ENTREZ	MOUSE ENTREZ	MAPPING	SYM	SYNONYMS	DESCRIPTION	TARGETP	YEASTMITOHOMOLOG	RICKETTSIA_BLASTP_EXPECT	MITODOMAIN	PGC_INDUCTION	COEXPRESSION_GNF_N50	PROTEOMICS	MAESTRO_SCORE	MITOCARTA_cFDR	MITOCARTA_LIST	MCARTA_TYPE	NUM_MSMS_TISSUES	CHOMOSOME	START	STOP	PFAM_DOMAINS
Tmito	578	12018	HomoloGene	BAK1	BAK|BAK-LIKE|BCL2L7|CDN1|MGC117255|MGC3887	BCL2-antagonist/killer 1	0			0	0	1	25-50pure	2	17%	1	known	10	6	33648306	33655958	Bcl-2
Tmito	594	12040	HomoloGene	BCKDHB	E1B	"branched chain keto acid dehydrogenase E1, beta polypeptide (maple syrup urine disease)"	0	1	5.70E-51	0	0	15	50-75pure	17	0%	1	known	13	6	80873082	81112705	Transketolase_C | Transket_pyr
Tmito	10295	12041	HomoloGene	BCKDK	-	branched chain ketoacid dehydrogenase kinase	2	1		0	0	2	25-50pure	13	3%	1	known	14	16	31027222	31031421	HATPase_c
Tmito	637	12122	HomoloGene	BID	MGC15319|MGC42355	BH3 interacting domain death agonist	0			1	2			3	14%	1	known		22	16596905	16637257	BID
Tmito	548596	12716	HomoloGene	CKMT1A	CKMT1|UMTCK	"creatine kinase, mitochondrial 1A"	2			1	2	0	75-100pure	18	0%	1	known	13	15	41772375	41778711	ATP-gua_Ptrans | ATP-gua_PtransN
Tmito	1159	12716	HomoloGene	CKMT1B	CKMT|CKMT1|UMTCK	"creatine kinase, mitochondrial 1B"	2			1	2	0	75-100pure	18	0%	1	known	13	15	41672543	41678895	ATP-gua_Ptrans | ATP-gua_PtransN
Tmito	10229	12850	HomoloGene	COQ7	CAT5|CLK-1	"coenzyme Q7 homolog, ubiquinone (yeast)"	2	1	6.30E-21	1	3	38	50-75pure	38	0%	1	known	14	16	18986427	18998854	COQ7
Tmito	1327	12857	HomoloGene	COX4I1	COX4|COXIV|MGC72016	cytochrome c oxidase subunit IV isoform 1	2			1	2	42	75-100pure	28	0%	1	known	14	16	84390696	84398108	COX4
Tmito	1329	12859	HomoloGene	COX5B	COXVB	cytochrome c oxidase subunit Vb	1	1		1	3	40	50-75pure	39	0%	1	known	14	2	97628952	97631088	COX5B
Tmito	1339	12862	HomoloGene	COX6A2	COX6AH|COXVIAH	cytochrome c oxidase subunit VIa polypeptide 2	0	1		1	0	3	25-50crude	6	7%	1	known	3	16	31346555	31347221	COX6A
Tmito	1346	12865	HomoloGene	COX7A1	COX7A|COX7AH|COX7AM	cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)	2			1	18	24	25-50pure	24	0%	1	known	13	19	41333663	41335610	COX7a
Tmito	1350	12867	HomoloGene	COX7C	-	cytochrome c oxidase subunit VIIc	4			1	2	35	50-75pure	25	0%	1	known	14	5	85949539	85952338	COX7C
Tmito	1351	12868	HomoloGene	COX8A	COX VIII|COX VIII-L|COX8|COX8-2|COX8L	cytochrome c oxidase subunit 8A (ubiquitous)	1			1	0	15	50-75pure	24	0%	1	known	3	11	63498654	63500590	COX8
Tmito	1371	12892	HomoloGene	CPOX	CPO|CPX|HCP	coproporphyrinogen oxidase	0	1	1.40E-53	1	0	3	50-75pure	17	0%	1	known	12	3	99780979	99795130	Coprogen_oxidas
Tmito	1374	12894	HomoloGene	CPT1A	CPT1|CPT1-L|L-CPT1	carnitine palmitoyltransferase 1A (liver)	0	1		1	2	8	50-75pure	21	0%	1	known	14	11	68278663	68365880	Carn_acyltransf
Tmito	1376	12896	HomoloGene	CPT2	CPT1|CPTASE	carnitine palmitoyltransferase II	3	1		1	1	29	75-100pure	25	0%	1	known	14	1	53434688	53452454	Carn_acyltransf
Tmito	1407	12952	HomoloGene	CRY1	PHLL1	cryptochrome 1 (photolyase-like)	0			0	0	1		-6	82%	1	known		12	105909271	106011454	DNA_photolyase | FAD_binding_7
Tmito	54205	13063	HomoloGene	CYCS	CYC|HCS	"cytochrome c, somatic"	0	1	1.30E-17	1		38	75-100pure	28	0%	1	known	14	7	25124799	25131479	Cytochrom_C
Tmito	1583	13070	HomoloGene	CYP11A1	CYP11A|P450SCC	"cytochrome P450, family 11, subfamily A, polypeptide 1"	5			0	0		75-100pure	8	5%	1	known	4	15	72417156	72447019	p450
Tmito	1629	13171	HomoloGene	DBT	BCATE2|E2|E2B|MGC9061	dihydrolipoamide branched chain transacylase E2	1	1	8.70E-33	1	7		50-75pure	33	0%	1	known	14	1	100432323	100487977	E3_binding | Biotin_lipoyl | 2-oxoacid_dh
Tmito	1738	13382	HomoloGene	DLD	DLDH|E3|GCSL|LAD|PHE3	dihydrolipoamide dehydrogenase	2	1	0	1	3	37	75-100pure	38	0%	1	known	14	7	107318821	107348878	Pyr_redox | Pyr_redox_dim | Pyr_redox_2 | GIDA
Tmito	2021	13804	HomoloGene	ENDOG	FLJ27463	endonuclease G	0	1		0	2	38	50-75pure	22	0%	1	known	14	9	130620599	130624775	Endonuclease_NS
Tmito	2232	14149	HomoloGene	FDXR	ADXR	ferredoxin reductase	2	1		-2	0	6	50-75pure	18	0%	1	known	10	17	70370217	70380691	Pyr_redox_2
Tmito	23770	14232	HomoloGene	FKBP8	FKBP38|FKBPr38	"FK506 binding protein 8, 38kDa"	0			-1	0	1	0-25crude	-12	93%	1	known	5	19	18503567	18515382	TPR_1 | FKBP_C | TPR_2
Tmito	2395	14297	HomoloGene	FXN	CyaY|FA|FARR|FRDA|MGC57199|X25	frataxin	1		1.40E-09	1	2	7	25-50pure	27	0%	1	known	14	9	70840163	70878771	Frataxin_Cyay
Tmito	26515	14356	HomoloGene	FXC1	TIM10B|TIMM10B|Tim9b	fracture callus 1 homolog (rat)	0			1	2	1	75-100pure	12	3%	1	known	13	11	6459265	6461126	zf-Tim10_DDP
Tmito	2631	14467	HomoloGene	GBAS	NIPSNAP2	glioblastoma amplified sequence	1			-2	3	5	75-100pure	22	0%	1	known	14	7	55999789	56035364	NIPSNAP
Tmito	51650	14548	HomoloGene	MRPS33	CGI-139|FLJ21123|MRP-S33|PTD003	mitochondrial ribosomal protein S33	3			-2	1	1	50-75pure	7	5%	1	known	13	7	140352430	140361215	
Tmito	2820	14571	HomoloGene	GPD2	GDH2|mGPDH	glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	5	1		0	1		75-100pure	13	3%	1	known	13	2	156988101	157148164	DAO | efhand
Tmito	2876	14775	HomoloGene	GPX1	GSHPX1|MGC14399|MGC88245	glutathione peroxidase 1	3			0	0	6	75-100ambig	9	3%	1	known	13	3	49369612	49370794	GSHPx
Tmito	2710	14933	HomoloGene	GK	GK1|GKD	glycerol kinase	0			1	4	3	50-75pure	13	3%	1	known	10	X	30581460	30658645	FGGY_N | FGGY_C
Tmito	3033	15107	HomoloGene	HADH	HAD|HADH1|HADHSC|HHF4|M/SCHAD|MGC8392|SCHAD	hydroxyacyl-Coenzyme A dehydrogenase	2		1.30E-28	1	1	31	75-100pure	28	0%	1	known	14	4	109130388	109175779	3HCDH_N | 3HCDH
Tmito	3052	15159	HomoloGene	HCCS	CCHL|DKFZp779I1858|MCOPS7	holocytochrome c synthase (cytochrome c heme-lyase)	0	1		1	4		25-50ambig	14	2%	1	known	10	X	11039372	11051121	Cyto_heme_lyase
Tmito	3098	15275	HomoloGene	HK1	HK1-ta|HK1-tb|HK1-tc|HKI|HXK1	hexokinase 1	0			1	0		50-75crude	1	19%	1	known	14	10	70699761	70831640	Hexokinase_2 | Hexokinase_1
Tmito	3099	15277	HomoloGene	HK2	DKFZp686M1669|HKII|HXK2	hexokinase 2	0			1	1	16	50-75crude	5	8%	1	known	13	2	74913289	74973988	Hexokinase_2 | Hexokinase_1
Tmito	3155	15356	HomoloGene	HMGCL	HL	3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria)	1			1	2	1	50-75pure	22	0%	1	known	14	1	24000953	24024535	HMGL-like
Tmito	3158	15360	HomoloGene	HMGCS2	-	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)	1			1	0	2	75-100pure	20	0%	1	known	9	1	120092524	120113040	HMG_CoA_synt_C | HMG_CoA_synt_N
Tmito	3329	15510	HomoloGene	HSPD1	CPN60|GROEL|HSP60|HSP65|HuCHA60|SPG13	heat shock 60kDa protein 1 (chaperonin)	1	1	0	0	2	3	75-100pure	26	0%	1	known	14	2	198059552	198073242	Cpn60_TCP1
Tmito	23095	16561	HomoloGene	KIF1B	CMT2|CMT2A|CMT2A1|FLJ23699|HMSNII|KIAA0591|KIAA1448|KLP|MGC134844	kinesin family member 1B	4			-1	2	1	0-25ambig	-3	57%	1	known	3	1	10193417	10364241	PH | FHA | Kinesin
Tmito	4128	17161	HomoloGene	MAOA	-	monoamine oxidase A	0			0	1	0	50-75pure	4	12%	1	known	13	X	43400352	43491011	Amino_oxidase
Tmito	4336	17433	HomoloGene	MOBP	MGC87379	myelin-associated oligodendrocyte basic protein	0			-2	1	2		-7	85%	1	known		3	39484174	39542862	MOBP
Tmito	4358	17527	HomoloGene	MPV17	SYM1	MpV17 mitochondrial inner membrane protein	4	1		0	0	18	75-100pure	18	0%	1	known	14	2	27385863	27398934	Mpv17_PMP22
Tmito	4508	17705	HomoloGene	ATP6	MTATP6	ATP synthase F0 subunit 6	0	1	2.60E-25	1			25-50pure	17	0%	1	known	14	MT	8527	9207	ATP-synt_A
Tmito	4512	17708	HomoloGene	COX1	MTCO1	cytochrome c oxidase subunit I	0	1	0	1			0-25pure	15	1%	1	known	14	MT	5904	7445	COX1
Tmito	4535	17716	HomoloGene	ND1	MTND1	NADH dehydrogenase subunit 1	0		6.40E-71	-2			0-25pure	4	11%	1	known	14	MT	3307	4263	NADHdh
Tmito	4536	17717	HomoloGene	ND2	MTND2	NADH dehydrogenase subunit 2	0		5.50E-23	1			25-50pure	12	3%	1	known	14	MT	4470	5511	Oxidored_q1 | NADH_dehy_S2_C
Tmito	4537	17718	HomoloGene	ND3	MTND3	NADH dehydrogenase subunit 3	0		3.60E-14	-2				-2	47%	1	known		MT	10059	10404	Oxidored_q4
Tmito	4538	17719	HomoloGene	ND4	MTND4	NADH dehydrogenase subunit 4	0		7.10E-53	1			25-50pure	12	3%	1	known	14	MT	10760	12137	Oxidored_q1 | Oxidored_q5_N
Tmito	4539	17720	HomoloGene	ND4L	MTND4L	NADH dehydrogenase subunit 4L	0			-2				-5	70%	1	known		MT	10470	10766	Oxidored_q2
Tmito	4540	17721	HomoloGene	ND5	MTND5	NADH dehydrogenase subunit 5	0		3.60E-79	1			25-50pure	12	3%	1	known	14	MT	12337	14148	NADH5_C | Oxidored_q1 | Oxidored_q1_N
Tmito	4515	17763	HomoloGene	MTCP1	C6.1B	mature T-cell proliferation 1	0			1	0	0		-1	42%	1	known		X	153943079	153952829	TCL1_MTCP1 | DUF1903
Tmito	4580	17827	HomoloGene	MTX1	MTX|MTXN	metaxin 1	0			-2	2	0	75-100pure	7	5%	1	known	13	1	153445113	153450248	
Tmito	4594	17850	HomoloGene	MUT	MCM	methylmalonyl Coenzyme A mutase	3			1	2	24	50-75pure	22	0%	1	known	14	6	49506952	49538810	B12-binding | MM_CoA_mutase
Tmito	4697	17992	HomoloGene	NDUFA4	CI-MLRQ|FLJ27440|MGC104422|MGC126843|MGC126845|MLRQ	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa"	4			-2	0		75-100pure	8	4%	1	known	14	7	10939339	10946337	
Tmito	4724	17993	HomoloGene	NDUFS4	AQDQ	"NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)"	1			1	3	37	75-100pure	34	0%	1	known	14	5	52892241	53014924	ETC_C1_NDUFA4
Tmito	4723	17995	HomoloGene	NDUFV1	UQOR1	"NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa"	2		0	1	2	40	75-100pure	31	0%	1	known	14	11	67130982	67136581	Complex1_51K
Tmito	9054	18041	HomoloGene	NFS1	HUSSY-08|IscS|NIFS	NFS1 nitrogen fixation 1 homolog (S. cerevisiae)	1		0	1	2	20	25-50pure	30	0%	1	known	14	20	33720024	33750687	Beta_elim_lyase | Aminotran_5
Tmito	740	18120	HomoloGene	MRPL49	C11orf4|L49mt|MGC10656|NOF|NOF1	mitochondrial ribosomal protein L49	2			0	0	3	50-75pure	10	3%	1	known	14	11	64646303	64651416	Img2
Tmito	4942	18242	HomoloGene	OAT	DKFZp781A11155|HOGA	ornithine aminotransferase (gyrate atrophy)	2			1	1	2	75-100pure	15	0%	1	known	14	10	126075861	126097440	Aminotran_3
Tmito	4967	18293	HomoloGene	OGDH	AKGDH|E1k|OGDC	oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)	2	1	0	1	4	37	50-75pure	38	0%	1	known	14	7	44612695	44715193	E1_dh | Transket_pyr
Tmito	10166	18408	HomoloGene	SLC25A15	D13S327|HHH|ORNT1	solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15	0	1		1	0	1	50-75pure	14	3%	1	known	8	13	40261596	40282245	Mito_carr
Tmito	5009	18416	HomoloGene	OTC	MGC129967|MGC129968|MGC138856|OCTD	ornithine carbamoyltransferase	2			1	0	3	75-100pure	15	0%	1	known	6	X	38096301	38165552	OTCace_N | OTCace
Tmito	5091	18563	HomoloGene	PC	PCB	pyruvate carboxylase	2		0.00000033	1	0	4	50-75pure	18	0%	1	known	14	11	66372572	66478455	ATP-grasp | Biotin_carb_C | CPSase_L_D2 | HMGL-like | PYC_OADA | Biotin_lipoyl | CPSase_L_chain
Tmito	5161	18598	HomoloGene	PDHA2	MGC149517|MGC149518|PDHAL	pyruvate dehydrogenase (lipoamide) alpha 2	5	1	7.90E-66	1	0	0	50-75pure	19	0%	1	known	2	4	96980265	96981647	E1_dh
Tmito	5245	18673	HomoloGene	PHB	-	prohibitin	0	1	0.00073	0	5	30	75-100pure	27	0%	1	known	14	17	44836418	44847240	Band_7
Tmito	5250	18674	HomoloGene	SLC25A3	OK/SW-cl.48|PHC	"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3"	4	1		1	2	38	50-75pure	30	0%	1	known	14	12	97511533	97519908	Mito_carr
Tmito	5498	19044	HomoloGene	PPOX	MGC8485|PPO|V290M|VP	protoporphyrinogen oxidase	5	1		0	0	2	0-25ambig	3	14%	1	known	7	1	159402817	159407633	DAO | Amino_oxidase
Tmito	246243	19819	HomoloGene	RNASEH1	H1RNA	ribonuclease H1	2		1.10E-15	-2	0	0		2	15%	1	known		2	3570552	3583814	RnaseH
Tmito	9167	20463	HomoloGene	COX7A2L	COX7AR|COX7RP|EB1|SIG81	cytochrome c oxidase subunit VIIa polypeptide 2 like	0			1	2		75-100ambig	10	3%	1	known	14	2	42431145	42441859	COX7a
Tmito	9016	20523	HomoloGene	SLC25A14	BMCP1|MGC149543|UCP5	"solute carrier family 25 (mitochondrial carrier, brain), member 14"	0	1		1	0	0	25-50ambig	8	4%	1	known	6	X	129301727	129335015	Mito_carr
Tmito	6647	20655	HomoloGene	SOD1	ALS|ALS1|IPOA|SOD|homodimer	"superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult))"	0	1		-1	1	4	50-75ambig	0	28%	1	known	14	21	31953805	31963114	Sod_Cu
Tmito	6648	20656	HomoloGene	SOD2	IPO-B|MNSOD|Mn-SOD	"superoxide dismutase 2, mitochondrial"	3	1	2.40E-23	1	6	19	50-75pure	31	0%	1	known	14	6	160020137	160034342	Sod_Fe_N | Sod_Fe_C
Tmito	6770	20845	HomoloGene	STAR	STARD1	steroidogenic acute regulator	3			1	3	6	25-50pure	19	0%	1	known	1	8	38119374	38127756	START
Tmito	8803	20916	HomoloGene	SUCLA2	A-BETA	"succinate-CoA ligase, ADP-forming, beta subunit"	1	1	2.40E-96	1	4	21	75-100pure	39	0%	1	known	14	13	47414791	47473462	Ligase_CoA | ATP-grasp_2
Tmito	8801	20917	HomoloGene	SUCLG2	G-BETA	"succinate-CoA ligase, GDP-forming, beta subunit"	2	1	3.80E-88	1	1		50-75pure	24	0%	1	known	14	3	67507835	67787697	Ligase_CoA | ATP-grasp_2
Tmito	9238	21379	HomoloGene	TBRG4	CPR2|FASTKD4|KIAA0948	transforming growth factor beta regulator 4	1			-2	2	1	50-75pure	17	0%	1	known	14	7	45106223	45117841	FAST_1 | FAST_2 | RAP
Tmito	10440	21854	HomoloGene	TIMM17A	TIM17|TIM17A	translocase of inner mitochondrial membrane 17 homolog A (yeast)	0	1		1	3	29	50-75ambig	21	0%	1	known	14	1	200191270	200206411	Tim17
Tmito	10245	21855	HomoloGene	TIMM17B	DXS9822|JM3|TIM17B	translocase of inner mitochondrial membrane 17 homolog B (yeast)	0	1		1	1	0	50-75ambig	10	3%	1	known	14	X	48635675	48640369	Tim17
Tmito	7263	22117	HomoloGene	TST	MGC19578|RDS	thiosulfate sulfurtransferase (rhodanese)	3			0	0		50-75pure	9	3%	1	known	14	22	35736851	35745436	Rhodanese
Tmito	7350	22227	HomoloGene	UCP1	SLC25A7|UCP	"uncoupling protein 1 (mitochondrial, proton carrier)"	0	1		1	0	7	50-75ambig	14	3%	1	known	1	4	141700499	141709456	Mito_carr
Tmito	7352	22229	HomoloGene	UCP3	SLC25A9	"uncoupling protein 3 (mitochondrial, proton carrier)"	0	1		1	0	1	25-50ambig	8	4%	1	known	4	11	73388984	73397777	Mito_carr
Tmito	27089	22272	HomoloGene	UQCRQ	QP-C	"ubiquinol-cytochrome c reductase, complex III subunit VII, 9.5kDa"	2			1	2	0	75-100pure	18	0%	1	known	14	5	132230217	132231580	UcrQ
Tmito	7384	22273	HomoloGene	UQCRC1	D3S3191	ubiquinol-cytochrome c reductase core protein I	1	1	1.90E-40	1	4	39	50-75pure	42	0%	1	known	14	3	48611435	48622101	Peptidase_M16 | Peptidase_M16_C
Tmito	7416	22333	HomoloGene	VDAC1	MGC111064|PORIN|PORIN-31-HL	voltage-dependent anion channel 1	0	1		0	0	6	75-100pure	13	3%	1	known	14	5	133335505	133368331	Porin_3
Tmito	7417	22334	HomoloGene	VDAC2	FLJ23841	voltage-dependent anion channel 2	0	1		0	3	41	50-75pure	23	0%	1	known	14	10	76640568	76661211	Porin_3
Tmito	51166	23923	HomoloGene	AADAT	KAT2|KATII	aminoadipate aminotransferase	2		2.80E-11	0	2	1	25-50pure	14	3%	1	known	3	4	171217947	171247946	Aminotran_1_2
Tmito	10455	23986	HomoloGene	PECI	ACBD2|DRS1|HCA88|dJ1013A10.3	"peroxisomal D3,D2-enoyl-CoA isomerase"	0			0	1	7	50-75pure	8	5%	1	known	14	6	4060925	4080829	ECH | ACBP
Tmito	10587	26462	HomoloGene	TXNRD2	SELZ|TR|TR-BETA|TR3|TRXR2	thioredoxin reductase 2	1		1.10E-36	1	0	7	50-75pure	26	0%	1	known	13	22	18243039	18309358	Pyr_redox | Pyr_redox_dim | Pyr_redox_2
Tmito	9131	26926	HomoloGene	AIFM1	AIF|MGC111425|PDCD8	"apoptosis-inducing factor, mitochondrion-associated, 1"	3		0.0000018	0	3	21	50-75pure	22	0%	1	known	14	X	129091017	129127488	Pyr_redox | Pyr_redox_2
Tmito	51295	26940	HomoloGene	ECSIT	SITPEC	ECSIT homolog (Drosophila)	2			0	2	38	25-50ambig	18	0%	1	known	13	19	11477743	11500929	ECSIT
Tmito	1468	27376	HomoloGene	SLC25A10	DIC	"solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10"	0	1		1	0		75-100pure	16	0%	1	known	12	17	77289775	77298446	Mito_carr
Tmito	10730	27377	HomoloGene	YME1L1	FTSH|MEG4|PAMP|YME1L	YME1-like 1 (S. cerevisiae)	0	1	0	1	0	1	25-50pure	15	1%	1	known	12	10	27439388	27483326	Peptidase_M41 | AAA
Tmito	54148	27393	HomoloGene	MRPL39	C21orf92|FLJ20451|L39mt|MGC104174|MGC3400|MRP-L5|MSTP003|PRED22|PRED66|RPML5	mitochondrial ribosomal protein L39	0		0.000056	1	2	0	50-75ambig	11	3%	1	known	13	21	25879838	25901671	TGS
Tmito	29088	27395	MGI	MRPL15	HSPC145|MRP-L7|RPML7	mitochondrial ribosomal protein L15	3		0.000058	0	3	0	25-50ambig	10	3%	1	known	10	8	55210333	55223013	Ribosomal_L15
Tmito	63875	27397	HomoloGene	MRPL17	MRP-L26|RPL17L|RPML26	mitochondrial ribosomal protein L17	1	1	2.90E-10	0	0		25-50ambig	18	0%	1	known	13	11	6659455	6661149	Ribosomal_L17
Tmito	51069	27398	HomoloGene	MRPL2	CGI-22|MRP-L14|RPML14	mitochondrial ribosomal protein L2	0	1	2.50E-24	0	2	20	25-50pure	19	0%	1	known	7	6	43129744	43135219	Ribosomal_L2 | Ribosomal_L2_C
Tmito	10061	27407	HomoloGene	ABCF2	ABC28|DKFZp586K1823|EST133090|HUSSY-18|M-ABC1	"ATP-binding cassette, sub-family F (GCN20), member 2"	0		3.50E-13	0	1			-2	51%	1	known		7	150535855	150555249	ABC_tran
Tmito	10632	27425	MGI	ATP5L	ATP5JG	"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G"	5			-2	2	8	75-100pure	13	3%	1	known	14	11	117777313	117785771	ATP-synt_G
Tmito	54534	28028	HomoloGene	MRPL50	FLJ20493|FLJ21990|MRP-L50	mitochondrial ribosomal protein L50	1			-2	0	14	50-75ambig	15	1%	1	known	13	9	103192069	103200716	
Tmito	539	28080	HomoloGene	ATP5O	ATPO|OSCP	"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (oligomycin sensitivity conferring protein)"	2	1		1	3	40	75-100pure	35	0%	1	known	14	21	34197626	34210027	OSCP
Tmito	26517	30055	HomoloGene	TIMM13	TIM13|TIM13B|TIMM13A|TIMM13B|ppv1	translocase of inner mitochondrial membrane 13 homolog (yeast)	0	1		1	2	22	50-75pure	23	0%	1	known	14	19	2376621	2378874	zf-Tim10_DDP
Tmito	26520	30056	HomoloGene	TIMM9	TIM9|TIM9A	translocase of inner mitochondrial membrane 9 homolog (yeast)	0	1		1	4	0	50-75pure	19	0%	1	known	14	14	57945122	57963984	zf-Tim10_DDP
Tmito	26521	30057	HomoloGene	TIMM8B	DDP2|FLJ21744|MGC102866|MGC117373|TIM8B	translocase of inner mitochondrial membrane 8 homolog B (yeast)	0	1		1	2	0	50-75pure	17	0%	1	known	12	11	111461078	111462668	zf-Tim10_DDP
Tmito	26519	30059	HomoloGene	TIMM10	TIM10|TIM10A	translocase of inner mitochondrial membrane 10 homolog (yeast)	0	1		1	2	26	25-50pure	21	0%	1	known	13	11	57052511	57054807	zf-Tim10_DDP
Tmito	51081	50529	HomoloGene	MRPS7	MRP-S|MRP-S7|RP-S7|RPMS7	mitochondrial ribosomal protein S7	2		1.90E-21	0	1	3	50-75ambig	9	3%	1	known	14	17	70769384	70774048	Ribosomal_S7
Tmito	11232	50776	HomoloGene	POLG2	HP55|MTPOLB|PEOA4|POLB|POLGB	"polymerase (DNA directed), gamma 2, accessory subunit"	4			0	0	7		1	27%	1	known		17	59904363	59923630	HGTP_anticodon
Tmito	10165	50799	HomoloGene	SLC25A13	ARALAR2|CITRIN|CTLN2	"solute carrier family 25, member 13 (citrin)"	0			1	4	3	75-100pure	14	3%	1	known	14	7	95587467	95789340	efhand | Mito_carr
Tmito	26056	52055	HomoloGene	RAB11FIP5	DKFZP434H018|GAF1|KIAA0857|RIP11|pp75	RAB11 family interacting protein 5 (class I)	0			0	1	1	0-25ambig	-5	67%	1	known	2	2	73154018	73193652	C2
